StairIndex,Grid_i,Grid_j,X_center,Y_center,CumulativePressure,CumulativeSlip
1,6,41,-1.48,0.249,0.0,0.0
1,6,42,-1.48,0.255,0.0,0.0
1,6,43,-1.48,0.261,0.0,0.0
1,6,44,-1.48,0.267,0.0,0.0
1,6,45,-1.48,0.273,0.0,0.0
1,6,46,-1.48,0.279,0.0,0.0
1,6,47,-1.48,0.28500000000000003,0.0,0.0
1,6,48,-1.48,0.291,0.0,0.0
1,6,49,-1.48,0.297,0.0,0.0
1,7,0,-1.4,0.003,0.0,0.0
1,7,1,-1.4,0.009000000000000001,0.0,0.0
1,7,2,-1.4,0.015,0.0,0.0
1,7,3,-1.4,0.021,0.0,0.0
1,7,4,-1.4,0.027,0.0,0.0
1,7,5,-1.4,0.033,0.0,0.0
1,7,6,-1.4,0.039,0.0,0.0
1,7,7,-1.4,0.045,0.0,0.0
1,7,8,-1.4,0.051000000000000004,0.0,0.0
1,7,9,-1.4,0.057,0.0,0.0
1,7,10,-1.4,0.063,0.0,0.0
1,7,11,-1.4,0.069,0.0,0.0
1,7,12,-1.4,0.075,0.0,0.0
1,7,13,-1.4,0.081,586.3155807178987,1.4532151227777648e-05
1,7,14,-1.4,0.08700000000000001,586.3155807178987,1.4532151227777648e-05
1,7,15,-1.4,0.093,586.3155807178987,1.4532151227777648e-05
1,7,16,-1.4,0.099,586.3155807178987,1.4532151227777648e-05
1,7,17,-1.4,0.105,586.3155807178987,1.4532151227777648e-05
1,7,18,-1.4,0.111,1235.2667714477705,2.7192815260667037e-05
1,7,19,-1.4,0.117,1235.2667714477705,2.7192815260667037e-05
1,7,20,-1.4,0.123,1658.4994089395436,3.9103877615351195e-05
1,7,21,-1.4,0.129,2114.4953780129563,5.2117967857094406e-05
1,7,22,-1.4,0.135,2114.4953780129563,5.2117967857094406e-05
1,7,23,-1.4,0.14100000000000001,2114.4953780129563,5.2117967857094406e-05
1,7,24,-1.4,0.147,2114.4953780129563,5.2117967857094406e-05
1,7,25,-1.4,0.153,2114.4953780129563,5.2117967857094406e-05
1,7,26,-1.4,0.159,2114.4953780129563,5.2117967857094406e-05
1,7,27,-1.4,0.165,1658.4994089395436,3.9103877615351195e-05
1,7,28,-1.4,0.171,1658.4994089395436,3.9103877615351195e-05
1,7,29,-1.4,0.177,1658.4994089395436,3.9103877615351195e-05
1,7,30,-1.4,0.183,586.3155807178987,1.4532151227777648e-05
1,7,31,-1.4,0.189,0.0,0.0
1,7,32,-1.4,0.195,0.0,0.0
1,7,33,-1.4,0.201,0.0,0.0
1,7,34,-1.4,0.20700000000000002,0.0,0.0
1,7,35,-1.4,0.213,0.0,0.0
1,7,36,-1.4,0.219,0.0,0.0
1,7,37,-1.4,0.225,0.0,0.0
1,7,38,-1.4,0.231,0.0,0.0
1,7,39,-1.4,0.23700000000000002,0.0,0.0
1,7,40,-1.4,0.243,0.0,0.0
1,7,41,-1.4,0.249,0.0,0.0
1,7,42,-1.4,0.255,0.0,0.0
1,7,43,-1.4,0.261,0.0,0.0
1,7,44,-1.4,0.267,0.0,0.0
1,7,45,-1.4,0.273,0.0,0.0
1,7,46,-1.4,0.279,0.0,0.0
1,7,47,-1.4,0.28500000000000003,0.0,0.0
1,7,48,-1.4,0.291,0.0,0.0
1,7,49,-1.4,0.297,0.0,0.0
1,8,0,-1.3199999999999998,0.003,0.0,0.0
1,8,1,-1.3199999999999998,0.009000000000000001,0.0,0.0
1,8,2,-1.3199999999999998,0.015,0.0,0.0
1,8,3,-1.3199999999999998,0.021,0.0,0.0
1,8,4,-1.3199999999999998,0.027,0.0,0.0
1,8,5,-1.3199999999999998,0.033,0.0,0.0
1,8,6,-1.3199999999999998,0.039,0.0,0.0
1,8,7,-1.3199999999999998,0.045,0.0,0.0
1,8,8,-1.3199999999999998,0.051000000000000004,0.0,0.0
1,8,9,-1.3199999999999998,0.057,0.0,0.0
1,8,10,-1.3199999999999998,0.063,0.0,0.0
1,8,11,-1.3199999999999998,0.069,0.0,0.0
1,8,12,-1.3199999999999998,0.075,0.0,0.0
1,8,13,-1.3199999999999998,0.081,0.0,0.0
1,8,14,-1.3199999999999998,0.08700000000000001,0.0,0.0
1,8,15,-1.3199999999999998,0.093,0.0,0.0
1,8,16,-1.3199999999999998,0.099,0.0,0.0
1,8,17,-1.3199999999999998,0.105,0.0,0.0
1,8,18,-1.3199999999999998,0.111,436.75017655943265,1.1695168817919136e-05
1,8,19,-1.3199999999999998,0.117,436.75017655943265,1.1695168817919136e-05
1,8,20,-1.3199999999999998,0.123,436.75017655943265,1.1695168817919136e-05
1,8,21,-1.3199999999999998,0.129,436.75017655943265,1.1695168817919136e-05
1,8,22,-1.3199999999999998,0.135,436.75017655943265,1.1695168817919136e-05
1,8,23,-1.3199999999999998,0.14100000000000001,436.75017655943265,1.1695168817919136e-05
1,8,24,-1.3199999999999998,0.147,436.75017655943265,1.1695168817919136e-05
1,8,25,-1.3199999999999998,0.153,436.75017655943265,1.1695168817919136e-05
1,8,26,-1.3199999999999998,0.159,436.75017655943265,1.1695168817919136e-05
1,8,27,-1.3199999999999998,0.165,436.75017655943265,1.1695168817919136e-05
1,8,28,-1.3199999999999998,0.171,436.75017655943265,1.1695168817919136e-05
1,8,29,-1.3199999999999998,0.177,436.75017655943265,1.1695168817919136e-05
1,8,30,-1.3199999999999998,0.183,436.75017655943265,1.1695168817919136e-05
1,8,31,-1.3199999999999998,0.189,436.75017655943265,1.1695168817919136e-05
1,8,32,-1.3199999999999998,0.195,436.75017655943265,1.1695168817919136e-05
1,8,33,-1.3199999999999998,0.201,0.0,0.0
1,8,34,-1.3199999999999998,0.20700000000000002,0.0,0.0
1,8,35,-1.3199999999999998,0.213,0.0,0.0
1,8,36,-1.3199999999999998,0.219,0.0,0.0
1,8,37,-1.3199999999999998,0.225,0.0,0.0
1,8,38,-1.3199999999999998,0.231,0.0,0.0
1,8,39,-1.3199999999999998,0.23700000000000002,0.0,0.0
1,8,40,-1.3199999999999998,0.243,0.0,0.0
1,8,41,-1.3199999999999998,0.249,0.0,0.0
1,8,42,-1.3199999999999998,0.255,0.0,0.0
1,8,43,-1.3199999999999998,0.261,0.0,0.0
1,8,44,-1.3199999999999998,0.267,0.0,0.0
1,8,45,-1.3199999999999998,0.273,0.0,0.0
1,8,46,-1.3199999999999998,0.279,0.0,0.0
1,8,47,-1.3199999999999998,0.28500000000000003,0.0,0.0
1,8,48,-1.3199999999999998,0.291,0.0,0.0
1,8,49,-1.3199999999999998,0.297,0.0,0.0
1,9,0,-1.24,0.003,0.0,0.0
1,9,1,-1.24,0.009000000000000001,0.0,0.0
1,9,2,-1.24,0.015,0.0,0.0
1,9,3,-1.24,0.021,0.0,0.0
1,9,4,-1.24,0.027,0.0,0.0
1,9,5,-1.24,0.033,0.0,0.0
1,9,6,-1.24,0.039,0.0,0.0
1,9,7,-1.24,0.045,0.0,0.0
1,9,8,-1.24,0.051000000000000004,0.0,0.0
1,9,9,-1.24,0.057,0.0,0.0
1,9,10,-1.24,0.063,0.0,0.0
1,9,11,-1.24,0.069,0.0,0.0
1,9,12,-1.24,0.075,0.0,0.0
1,9,13,-1.24,0.081,0.0,0.0
1,9,14,-1.24,0.08700000000000001,964.4434108825723,1.544666311186237e-05
1,9,15,-1.24,0.093,964.4434108825723,1.544666311186237e-05
1,9,16,-1.24,0.099,964.4434108825723,1.544666311186237e-05
